#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
84,Myanmar,"635,882",,"19,492                                ",,"615,105",,"1,285",,"11,514",353,"10,430,474","188,865","55,227,143 ",Asia,,"872,8335",,,23
85,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,,99892,,,30
86,Moldova,"620,419",,"12,113                                ",,"504,142",,"104,164",49,"154,596","3,018","3,216,305","801,437","4,013,171 ",Europe,,63311,,,"25,956"
87,Estonia,"618,200",,"3,001                                ",,"524,990",,"90,209",3,"467,657","2,270","3,706,919","2,804,214","1,321,910 ",Europe,,24400,,,"68,241"
88,Venezuela,"552,695",,"5,856                                ",,"546,537",,302,31,"18,885",200,"3,359,014","114,771","29,266,991 ",South America,,"534,9989",,,10
89,Egypt,"515,970",,"24,613                                ",,"442,182",,"49,175",122,"4,860",232,"3,693,367","34,792","106,156,692 ",Africa,,"2064,31329",,,463
90,Qatar,"509,440",,690                                ,,"507,534",,"1,216",32,"170,958",232,"4,065,369","1,364,257","2,979,915 ",Asia,,"64,3191",,,408
91,Libya,"507,252",,"6,437                                ",,"500,813",,2,,"72,045",914,"2,483,848","352,782","7,040,745 ",Africa,,"141,0943",,,0.3
92,Ethiopia,"500,853",,"7,574                                ",,"487,985",,"5,294",1,"4,146",63,"5,544,327","45,892","120,812,698 ",Africa,,"24115,95122",,,44
93,Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061 ",Africa,,29861,,,"73,888"
94,Honduras,"472,533",,"11,112                                ",,N/A,N/A,N/A,105,"46,230","1,087","1,652,947","161,717","10,221,247 ",North America,,229206,,,"32,176"
95,Armenia,"449,062",,"8,747                                ",,"435,162",,"5,153",,"151,099","2,943","3,242,901","1,091,164","2,971,966 ",Asia,,73401,,,"1,734"
96,Bosnia and Herzegovina,"402,848",,"16,337                                ",,"379,084",,"7,427",,"123,979","5,028","1,884,721","580,036","3,249,317 ",Europe,,81992,,,"2,286"
97,Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993 ",Asia,,"131,1500",,,"1,907"
